,Nomi,Manzili,Kontakt nomeri,Geo nuqtasi
0,Hayat Medical Centre Частная Клиника,Ташкент Юнусабадский район Ул. мевазор,71 2008866,"41.3565092,69.2860369,15"
1,Akfa Medline Ооо,Ташкент Алмазарский район Ул. кичик халка йули,71 2033003,"41.3633985,69.2193817,15"
2,American Hospital Медицинский Центр,Ташкент Юнусабадский район Ул. икбола,71 2090303,"41.3565092,69.2860369,15"
3,Davr Med Servis Частная Клиника,Ташкент Чиланзарский район Ул. чупон-ота,71 2778429,"41.2806198,69.1963778,15"
4,Detoks Medikal Частная Наркологическая Клиника,Ташкент Юнусабадский район М-в юнусабад-15,71 2201501,"41.3565092,69.2860369,15"
5,Gulom Madaminbek Частная Клиника,Ташкент Юнусабадский район М-в юнусабад-15,71 2225246,"41.3565092,69.2860369,15"
6,Intermed Innovation Медицинский Центр,Ташкент Юнусабадский район Ул. чинабад,78 1482288,"41.3565092,69.2860369,15"
7,Kristall Офтальмологическая Клиника,Ташкент Алмазарский район Ул. зиё,71 2460508,"41.3633985,69.2193817,15"
8,Liv Hospital Представительство Турецкой Клиники,Ташкент Юнусабадский район Ул. абдуллы кадыри,97 1301122,"41.3565092,69.2860369,15"
9,Nuroniy Городская Клиническая Больница,Ташкент Яшнабадский район Туп. 1-й ошский,71 2915623,"41.2836335,69.3052342,15"
10,Yassi-dono Чп,Ташкент Юнусабадский район М-в юнусабад-14,71 2128748,"41.3565092,69.2860369,15"
11,Вторая Клиника Ташкентской Медицинской Академии,Ташкент Алмазарский район Ул. фароби,71 2145000,"41.3633985,69.2193817,15"
12,Городская Детская Инфекционная Больница № 4,Ташкент Шайхантахурский район Ул. тахтапул дарвоза,71 2419154,"41.327136,69.1991659,15"
13,Городская Детская Клиническая Больница № 1,Ташкент Юнусабадский район М-в юнусабад-3,71 2248577,"41.3565092,69.2860369,15"
14,Городская Детская Клиническая Больница № 2,Ташкент Яшнабадский район М-в авиасозлар-4,71 2961847,"41.2836335,69.3052342,15"
